episode,steps,return
1,200,-587
2,200,-524
3,200,-524
4,200,-560
5,200,-578
6,200,-488
7,200,-425
8,200,-425
9,200,-362
10,200,-632
11,200,-326
12,79,-157
13,200,-596
14,200,-524
15,200,-470
16,200,-299
17,200,-326
18,144,-267
19,200,-380
20,200,-542
21,200,-326
22,200,-362
23,200,-551
24,200,-245
25,200,-470
26,200,-236
27,200,-254
28,200,-227
29,181,-205
30,200,-515
31,200,-272
32,200,-254
33,200,-227
34,200,-281
35,200,-263
36,200,-605
37,200,-335
38,161,-194
39,200,-605
40,200,-281
41,200,-362
42,97,-103
43,44,-41
44,200,-254
45,200,-281
46,200,-227
47,155,-197
48,200,-308
49,200,-416
50,200,-281
51,200,-254
52,200,-272
53,200,-263
54,110,-206
55,122,-182
56,200,-272
57,98,-176
58,200,-299
59,200,-290
60,200,-290
61,160,-220
62,200,-290
63,200,-299
64,200,-299
65,200,-281
66,159,-273
67,200,-362
68,174,-207
69,53,-41
70,200,-245
71,200,-236
72,200,-326
73,200,-416
74,115,-130
75,58,-37
76,200,-443
77,81,-69
78,200,-317
79,200,-209
80,94,-100
81,200,-308
82,77,-110
83,127,-169
84,15,6
85,37,-52
86,192,-270
87,200,-299
88,200,-254
89,106,-130
90,132,-183
91,162,-186
92,200,-227
93,200,-245
94,200,-272
95,197,-212
96,200,-218
97,200,-263
98,200,-254
99,76,-73
100,142,-175
101,150,-156
102,200,-227
103,166,-172
104,200,-290
105,200,-263
106,200,-380
107,68,-137
108,137,-233
109,82,-88
110,200,-254
111,182,-233
112,81,-96
113,200,-272
114,86,-101
115,195,-255
116,177,-291
117,171,-213
118,68,-74
119,200,-371
120,200,-425
121,145,-214
122,200,-353
123,97,-94
124,200,-299
125,200,-425
126,121,-145
127,102,-135
128,196,-220
129,116,-113
130,19,2
131,161,-221
132,200,-353
133,200,-272
134,200,-218
135,130,-163
136,133,-157
137,77,-83
138,52,-58
139,200,-281
140,131,-146
141,60,-66
142,200,-281
143,75,-99
144,192,-234
145,200,-263
146,43,-31
147,200,-335
148,61,-76
149,127,-160
150,200,-335
151,200,-281
152,144,-204
153,106,-130
154,164,-161
155,69,-66
156,200,-245
157,57,-72
158,68,-74
159,200,-290
160,200,-308
161,200,-272
162,42,-48
163,176,-245
164,126,-168
165,167,-200
166,9,3
167,112,-136
168,200,-290
169,102,-108
170,103,-127
171,177,-192
172,54,-60
173,45,-33
174,97,-112
175,73,-88
176,53,-59
177,200,-290
178,66,-81
179,167,-200
180,18,-15
181,182,-188
182,122,-137
183,129,-153
184,139,-181
185,186,-282
186,40,-55
187,82,-70
188,47,-62
189,171,-195
190,51,-66
191,141,-183
192,104,-119
193,82,-61
194,102,-99
195,145,-178
196,136,-151
197,150,-192
198,59,-56
199,69,-84
200,148,-190
201,200,-263
202,38,-35
203,29,-17
204,82,-88
205,110,-107
206,145,-151
207,135,-177
208,7,14
209,28,-16
210,194,-227
211,54,-42
212,29,-8
213,196,-256
214,53,-32
215,200,-335
216,140,-164
217,111,-117
218,110,-143
219,171,-213
220,63,-60
221,43,-58
222,77,-92
223,121,-118
224,7,14
225,44,-50
226,200,-335
227,105,-129
228,124,-184
229,32,-11
230,83,-89
231,106,-121
232,106,-166
233,49,-28
234,6,15
235,58,-64
236,137,-197
237,92,-107
238,81,-78
239,39,-36
240,103,-127
241,146,-188
242,182,-305
243,55,-52
244,43,-40
245,107,-122
246,51,-57
247,82,-106
248,84,-99
249,30,-27
250,49,-64
251,93,-108
252,25,-4
253,117,-168
254,119,-152
255,76,-64
256,200,-254
257,94,-100
258,82,-88
259,37,-52
260,15,-12
261,105,-174
262,150,-201
263,97,-85
264,97,-103
265,131,-182
266,27,-15
267,101,-152
268,94,-109
269,21,-9
270,142,-202
271,85,-118
272,131,-137
273,184,-244
274,8,13
275,53,-41
276,14,-2
277,107,-149
278,84,-99
279,79,-85
280,123,-147
281,93,-81
282,9,12
283,74,-80
284,196,-238
285,95,-110
286,91,-106
287,77,-74
288,154,-160
289,19,-7
290,14,-11
291,133,-220
292,128,-143
293,142,-175
294,200,-254
295,29,-17
296,13,-1
297,27,-6
298,11,10
299,91,-106
300,14,7
301,177,-210
302,27,-15
303,75,-108
304,116,-131
305,32,-20
306,97,-112
307,21,-9
308,80,-77
309,13,8
310,65,-71
311,175,-172
312,23,-11
313,15,6
314,38,-35
315,130,-154
316,101,-143
317,41,-29
318,82,-106
319,67,-82
320,66,-63
321,9,12
322,112,-145
323,12,9
324,41,-38
325,29,-26
326,63,-96
327,17,4
328,52,-67
329,48,-54
330,46,-25
331,50,-29
332,106,-112
333,61,-76
334,98,-86
335,29,-44
336,35,-14
337,89,-86
338,69,-102
339,30,-18
340,44,-41
341,56,-44
342,12,9
343,95,-119
344,89,-149
345,11,1
346,41,-20
347,10,2
348,78,-84
349,6,15
350,58,-55
351,21,-18
352,9,12
353,19,-7
354,68,-56
355,60,-57
356,21,-9
357,44,-23
358,39,-27
359,31,-10
360,111,-144
361,8,4
362,20,1
363,40,-19
364,42,-75
365,20,1
366,16,5
367,38,-44
368,65,-53
369,22,-1
370,12,9
371,8,4
372,9,12
373,189,-258
374,13,8
375,11,10
376,53,-50
377,27,-15
378,18,-6
379,67,-46
380,54,-51
381,12,9
382,123,-147
383,56,-53
384,11,10
385,76,-109
386,73,-79
387,11,10
388,81,-96
389,48,-45
390,37,-34
391,112,-109
392,17,-5
393,44,-59
394,63,-60
395,15,6
396,40,-37
397,29,-8
398,63,-87
399,7,14
400,13,-1
401,70,-49
402,12,9
403,46,-79
404,72,-78
405,28,-7
406,77,-65
407,39,-36
408,42,-30
409,67,-82
410,9,12
411,127,-169
412,21,0
413,11,10
414,36,-15
415,14,7
416,91,-115
417,33,-12
418,50,-38
419,29,-8
420,24,-3
421,21,-9
422,12,0
423,71,-95
424,16,5
425,25,-13
426,10,11
427,78,-84
428,11,10
429,16,5
430,13,-10
431,35,-23
432,12,0
433,30,-9
434,32,-29
435,35,-23
436,13,8
437,53,-50
438,38,-17
439,32,-29
440,67,-46
441,127,-160
442,48,-27
443,11,10
444,24,-3
445,12,9
