episode,steps,return
1,200,-587
2,200,-542
3,200,-470
4,200,-542
5,200,-524
6,200,-569
7,200,-389
8,200,-533
9,200,-443
10,200,-587
11,200,-443
12,200,-272
13,200,-578
14,200,-578
15,149,-326
16,200,-317
17,200,-245
18,200,-290
19,200,-506
20,200,-596
21,200,-488
22,200,-344
23,200,-335
24,200,-254
25,200,-272
26,200,-407
27,175,-343
28,200,-245
29,200,-245
30,200,-587
31,200,-254
32,200,-254
33,140,-182
34,200,-281
35,200,-335
36,200,-578
37,200,-290
38,200,-236
39,200,-596
40,200,-299
41,124,-229
42,200,-245
43,200,-272
44,200,-371
45,200,-263
46,200,-362
47,200,-326
48,200,-299
49,200,-245
50,105,-129
51,200,-236
52,200,-209
53,200,-344
54,200,-263
55,200,-281
56,200,-272
57,200,-236
58,200,-236
59,200,-479
60,46,-43
61,119,-134
62,200,-272
63,200,-344
64,200,-290
65,200,-272
66,200,-281
67,166,-208
68,200,-326
69,200,-281
70,72,-87
71,200,-272
72,200,-263
73,31,-19
74,200,-344
75,200,-344
76,200,-290
77,30,-9
78,200,-272
79,200,-227
80,200,-281
81,200,-254
82,200,-254
83,200,-317
84,58,-55
85,28,-25
86,130,-280
87,200,-281
88,200,-263
89,200,-281
90,137,-161
91,200,-245
92,200,-353
93,200,-281
94,200,-326
95,200,-227
96,200,-263
97,200,-245
98,200,-263
99,167,-200
100,200,-272
101,197,-194
102,43,-40
103,200,-254
104,62,-59
105,200,-335
106,200,-389
107,200,-398
108,26,-14
109,200,-290
110,200,-245
111,200,-281
112,200,-254
113,200,-326
114,106,-121
115,151,-148
116,200,-362
117,42,-57
118,173,-332
119,112,-145
120,200,-416
121,128,-170
122,200,-299
123,164,-179
124,200,-272
125,51,-30
126,200,-308
127,193,-208
128,200,-317
129,200,-254
130,70,-85
131,200,-308
132,200,-317
133,200,-254
134,200,-245
135,200,-254
136,200,-260
137,200,-263
138,200,-290
139,151,-202
140,137,-170
141,133,-166
142,200,-407
143,175,-199
144,200,-281
145,200,-290
146,200,-398
147,200,-281
148,200,-326
149,169,-193
150,200,-326
151,200,-335
152,135,-195
153,200,-290
154,200,-263
155,124,-220
156,200,-254
157,73,-61
158,200,-272
159,184,-208
160,200,-299
161,121,-217
162,139,-172
163,81,-123
164,200,-308
165,200,-326
166,22,-1
167,89,-86
168,170,-185
169,119,-197
170,61,-67
171,200,-362
172,200,-281
173,200,-254
174,200,-272
175,161,-185
176,62,-77
177,200,-254
178,200,-236
179,189,-195
180,49,-46
181,200,-272
182,106,-130
183,200,-299
184,167,-218
185,200,-290
186,193,-244
187,200,-281
188,200,-254
189,122,-110
190,59,-65
191,102,-117
192,143,-185
193,200,-254
194,53,-32
195,141,-156
196,200,-353
197,200,-254
198,36,-15
199,105,-129
200,200,-227
201,153,-204
202,125,-149
203,26,-5
204,152,-158
205,144,-150
206,200,-272
207,200,-254
208,38,-26
209,139,-172
210,180,-213
211,200,-272
212,61,-49
213,200,-290
214,144,-168
215,200,-362
216,142,-184
217,200,-380
218,180,-231
219,200,-263
220,200,-263
221,38,-35
222,149,-164
223,36,-15
224,104,-155
225,105,-138
226,200,-227
227,200,-245
228,100,-124
229,139,-172
230,159,-246
231,44,-41
232,78,-102
233,200,-371
234,11,-8
235,182,-251
236,159,-345
237,149,-182
238,17,4
239,25,-22
240,64,-61
241,200,-272
242,200,-218
243,58,-82
244,200,-254
245,179,-230
246,107,-104
247,134,-149
248,107,-131
249,200,-236
250,50,-47
251,63,-78
252,64,-52
253,179,-248
254,200,-245
255,110,-161
256,200,-317
257,55,-97
258,200,-233
259,79,-76
260,200,-290
261,197,-248
262,200,-245
263,197,-221
264,188,-257
265,151,-211
266,55,-70
267,180,-249
268,97,-112
269,166,-253
270,113,-119
271,133,-130
272,95,-146
273,181,-178
274,16,-4
275,37,-34
276,200,-254
277,193,-244
278,198,-249
279,130,-154
280,200,-272
281,139,-145
282,62,-50
283,97,-112
284,45,-42
285,200,-281
286,200,-299
287,169,-211
288,200,-290
289,48,-54
290,29,-8
291,170,-248
292,100,-106
293,150,-219
294,135,-240
295,200,-281
296,51,-66
297,121,-136
298,24,-3
299,181,-223
300,114,-129
301,185,-245
302,134,-203
