episode,steps,return
1,200,-569
2,200,-542
3,200,-470
4,200,-551
5,200,-542
6,200,-560
7,200,-461
8,200,-416
9,200,-362
10,200,-614
11,200,-389
12,200,-335
13,200,-524
14,200,-524
15,153,-384
16,200,-236
17,200,-236
18,200,-263
19,200,-452
20,200,-623
21,200,-272
22,200,-335
23,200,-587
24,200,-353
25,200,-272
26,200,-263
27,200,-263
28,200,-290
29,200,-236
30,200,-587
31,192,-378
32,200,-245
33,200,-281
34,200,-263
35,200,-245
36,200,-524
37,200,-290
38,200,-245
39,200,-614
40,200,-281
41,200,-362
42,200,-290
43,57,-63
44,143,-221
45,200,-245
46,200,-299
47,200,-317
48,102,-99
49,200,-308
50,200,-326
51,200,-245
52,200,-335
53,200,-236
54,200,-263
55,200,-326
56,200,-326
57,200,-317
58,200,-272
59,200,-362
60,200,-263
61,200,-290
62,200,-281
63,200,-326
64,200,-326
65,200,-272
66,200,-443
67,200,-335
68,200,-398
69,189,-222
70,196,-274
71,200,-272
72,200,-299
73,174,-216
74,64,-61
75,200,-380
76,200,-290
77,107,-185
78,200,-281
79,200,-290
80,200,-326
81,200,-272
82,200,-227
83,200,-227
84,10,2
85,200,-362
86,200,-389
87,200,-281
88,170,-230
89,146,-242
90,96,-93
91,134,-140
92,127,-151
93,200,-281
94,200,-245
95,50,-29
96,200,-299
97,200,-272
98,200,-407
99,197,-248
100,142,-175
101,200,-263
102,102,-162
103,200,-362
104,57,-54
105,200,-236
106,200,-299
107,200,-326
108,200,-299
109,170,-212
110,200,-272
111,200,-326
112,200,-272
113,200,-335
114,116,-122
115,200,-236
116,200,-308
117,200,-317
118,127,-133
119,162,-276
120,200,-398
121,200,-254
122,200,-299
123,37,-34
124,200,-299
125,138,-180
126,200,-245
127,200,-272
128,200,-344
129,200,-254
130,200,-254
131,200,-263
132,200,-272
133,200,-218
134,200,-290
135,77,-74
136,144,-186
137,200,-344
138,130,-208
139,101,-107
140,200,-227
141,200,-263
142,200,-263
143,158,-236
144,200,-263
145,200,-254
146,107,-131
147,149,-227
148,200,-299
149,37,-25
150,200,-389
151,200,-290
152,200,-290
153,109,-115
154,200,-272
155,200,-254
156,97,-121
157,138,-189
158,200,-272
159,182,-251
160,134,-176
161,91,-106
162,200,-362
163,184,-199
164,159,-237
165,200,-344
166,7,14
167,200,-245
168,200,-245
169,174,-252
170,200,-344
171,200,-281
172,128,-215
173,101,-116
174,200,-218
175,200,-272
176,200,-317
177,200,-272
178,72,-60
179,200,-254
180,114,-174
181,126,-123
182,173,-197
183,125,-158
184,200,-272
185,148,-163
186,90,-105
187,200,-380
188,200,-281
189,149,-227
190,127,-142
191,61,-67
192,105,-156
193,97,-94
194,94,-109
195,200,-290
196,200,-236
197,200,-218
198,200,-281
199,85,-100
200,100,-124
201,139,-217
202,162,-195
203,200,-272
204,200,-245
205,165,-162
206,57,-54
207,200,-308
208,9,12
209,168,-210
210,200,-299
211,200,-308
212,163,-268
213,191,-314
214,94,-154
215,200,-308
216,117,-132
217,195,-237
218,200,-254
219,200,-335
220,200,-272
221,40,-55
222,50,-47
223,147,-171
224,62,-95
225,29,-8
226,182,-224
227,200,-245
228,200,-254
229,198,-240
230,140,-146
231,58,-46
232,58,-55
233,126,-150
234,25,-13
235,94,-127
236,150,-192
237,186,-219
238,200,-362
239,152,-230
240,200,-290
241,200,-254
242,200,-281
243,85,-109
244,70,-67
245,130,-145
246,96,-111
247,158,-191
248,35,-14
249,149,-155
250,109,-124
251,127,-178
252,150,-201
253,181,-205
254,200,-227
255,196,-229
256,200,-326
257,175,-307
258,168,-246
259,45,-60
260,73,-52
261,152,-149
262,137,-188
263,80,-86
264,165,-234
265,200,-281
266,98,-104
267,26,-23
268,200,-236
269,67,-73
270,200,-254
271,131,-146
272,110,-116
273,200,-263
274,200,-236
275,200,-299
276,125,-131
277,167,-281
278,122,-146
279,168,-228
280,200,-272
281,200,-299
282,9,3
283,200,-290
284,21,0
285,154,-169
286,200,-227
287,141,-192
288,200,-254
289,36,-33
290,73,-88
291,200,-299
292,176,-200
293,84,-63
294,200,-272
295,200,-317
296,71,-86
297,148,-172
298,29,-17
299,167,-209
300,52,-67
301,184,-217
302,69,-84
303,200,-245
304,137,-125
305,200,-326
306,57,-54
307,152,-194
308,112,-118
309,27,-6
310,200,-254
311,200,-272
312,170,-158
313,19,2
314,122,-128
315,149,-164
316,68,-56
317,97,-103
318,160,-202
319,139,-163
320,189,-285
321,11,10
322,158,-218
323,112,-154
324,158,-227
325,61,-67
326,64,-52
327,23,-29
328,146,-134
329,119,-125
330,60,-75
331,200,-299
332,159,-174
333,111,-108
334,65,-89
335,66,-45
336,103,-154
337,135,-177
338,131,-146
339,141,-174
340,78,-102
341,138,-162
342,165,-198
343,167,-245
344,154,-151
345,111,-135
346,100,-133
347,13,8
348,89,-113
349,6,15
350,107,-104
351,28,-16
352,85,-91
353,110,-116
354,65,-62
355,15,6
356,44,-32
357,68,-65
358,77,-65
359,119,-143
360,159,-201
361,8,4
362,147,-189
