episode,steps,return
1,200,-569
2,200,-569
3,200,-623
4,200,-614
5,200,-533
6,200,-596
7,200,-497
8,200,-533
9,200,-479
10,200,-551
11,200,-443
12,200,-452
13,200,-560
14,200,-614
15,48,-144
16,200,-425
17,200,-353
18,200,-398
19,200,-614
20,200,-596
21,200,-515
22,200,-533
23,200,-506
24,200,-344
25,200,-425
26,200,-380
27,200,-308
28,200,-335
29,200,-416
30,200,-578
31,85,-181
32,200,-425
33,200,-371
34,200,-335
35,200,-317
36,200,-632
37,200,-560
38,200,-353
39,200,-515
40,200,-470
41,200,-542
42,200,-407
43,91,-151
44,200,-416
45,200,-344
46,200,-326
47,111,-171
48,200,-434
49,200,-353
50,200,-470
51,200,-371
52,200,-335
53,200,-353
54,200,-362
55,200,-353
56,200,-344
57,59,-83
58,146,-269
59,200,-380
60,200,-371
61,200,-425
62,200,-371
63,200,-335
64,185,-362
65,200,-398
66,200,-326
67,102,-135
68,200,-398
69,200,-380
70,200,-389
71,200,-308
72,200,-416
73,200,-443
74,59,-101
75,200,-308
76,200,-452
77,35,-50
78,200,-362
79,200,-290
80,200,-425
81,200,-371
82,200,-362
83,200,-416
84,81,-114
85,36,-33
86,200,-551
87,200,-389
88,200,-407
89,200,-452
90,200,-452
91,200,-344
92,200,-380
93,200,-353
94,200,-380
95,200,-443
96,200,-371
97,200,-344
98,200,-353
99,200,-362
100,200,-461
101,162,-330
102,200,-371
103,148,-253
104,200,-389
105,200,-371
106,180,-357
107,200,-416
108,33,-12
109,200,-380
110,200,-380
111,200,-380
112,200,-353
113,200,-353
114,18,3
115,171,-303
116,200,-326
117,200,-317
118,90,-150
119,53,-68
120,200,-398
121,142,-247
122,165,-315
123,61,-103
124,200,-380
125,102,-171
126,200,-335
127,153,-321
128,200,-380
129,200,-344
130,200,-416
131,200,-416
132,143,-230
133,200,-272
134,200,-416
135,200,-380
136,200,-353
137,200,-353
138,82,-133
139,200,-407
140,200,-416
141,120,-198
142,174,-396
143,200,-299
144,200,-353
145,200,-416
146,200,-389
147,200,-389
148,200,-371
149,162,-231
150,200,-335
151,200,-389
152,71,-95
153,200,-389
154,200,-362
155,200,-335
156,200,-479
157,200,-398
158,200,-353
159,36,-69
160,200,-344
161,200,-389
162,78,-138
